Solving Problem
Minimum cost:  55195

 Arc   Flow / Capacity  Cost
0 -> 5      0   / 100000     0
0 -> 6      1   / 100000    42
0 -> 7      0   / 100000     0
0 -> 8     44   / 100000   572
0 -> 9     39   / 100000   1131
0 -> 10     63   / 100000   2268
0 -> 11      0   / 100000     0
0 -> 12      0   / 100000     0
0 -> 13      0   / 100000     0
0 -> 14      0   / 100000     0
0 -> 15      0   / 100000     0
0 -> 16      0   / 100000     0
0 -> 17     30   / 100000   1200
0 -> 18      0   / 100000     0
0 -> 19      0   / 100000     0
0 -> 20      0   / 100000     0
0 -> 21      0   / 100000     0
0 -> 22      0   / 100000     0
0 -> 23      0   / 100000     0
0 -> 24    110   / 100000   4620
0 -> 25      0   / 100000     0
0 -> 26      0   / 100000     0
0 -> 27    143   / 100000   4433
0 -> 28      0   / 100000     0
0 -> 29      0   / 100000     0
1 -> 5     40   / 100000   1840
1 -> 6     36   / 100000   1404
1 -> 7    115   / 100000   2875
1 -> 8      0   / 100000     0
1 -> 9     57   / 100000   1482
1 -> 10      0   / 100000     0
1 -> 11      0   / 100000     0
1 -> 12     79   / 100000   2765
1 -> 13      0   / 100000     0
1 -> 14      0   / 100000     0
1 -> 15      0   / 100000     0
1 -> 16     20   / 100000   360
1 -> 17      0   / 100000     0
1 -> 18      0   / 100000     0
1 -> 19    105   / 100000   1470
1 -> 20      0   / 100000     0
1 -> 21     65   / 100000   1820
1 -> 22      0   / 100000     0
1 -> 23      0   / 100000     0
1 -> 24      0   / 100000     0
1 -> 25      0   / 100000     0
1 -> 26     33   / 100000   825
1 -> 27      0   / 100000     0
1 -> 28      0   / 100000     0
1 -> 29      0   / 100000     0
2 -> 5      0   / 100000     0
2 -> 6      0   / 100000     0
2 -> 7      0   / 100000     0
2 -> 8      0   / 100000     0
2 -> 9      0   / 100000     0
2 -> 10      0   / 100000     0
2 -> 11      0   / 100000     0
2 -> 12      0   / 100000     0
2 -> 13    139   / 100000   3197
2 -> 14      0   / 100000     0
2 -> 15      0   / 100000     0
2 -> 16      0   / 100000     0
2 -> 17     56   / 100000   2072
2 -> 18      0   / 100000     0
2 -> 19      0   / 100000     0
2 -> 20      0   / 100000     0
2 -> 21      0   / 100000     0
2 -> 22    117   / 100000   2340
2 -> 23      0   / 100000     0
2 -> 24      0   / 100000     0
2 -> 25      0   / 100000     0
2 -> 26      0   / 100000     0
2 -> 27      0   / 100000     0
2 -> 28     84   / 100000   1008
2 -> 29     69   / 100000   1104
3 -> 5      0   / 100000     0
3 -> 6      0   / 100000     0
3 -> 7      0   / 100000     0
3 -> 8      0   / 100000     0
3 -> 9      0   / 100000     0
3 -> 10      0   / 100000     0
3 -> 11      0   / 100000     0
3 -> 12      0   / 100000     0
3 -> 13      1   / 100000    26
3 -> 14     60   / 100000   1140
3 -> 15    107   / 100000   2140
3 -> 16      0   / 100000     0
3 -> 17      0   / 100000     0
3 -> 18     63   / 100000   1449
3 -> 19      0   / 100000     0
3 -> 20    143   / 100000   4433
3 -> 21      0   / 100000     0
3 -> 22      0   / 100000     0
3 -> 23     17   / 100000   459
3 -> 24      0   / 100000     0
3 -> 25     76   / 100000   1596
3 -> 26      0   / 100000     0
3 -> 27      0   / 100000     0
3 -> 28      0   / 100000     0
3 -> 29      0   / 100000     0
4 -> 5      0   / 100000     0
4 -> 6      0   / 100000     0
4 -> 7      0   / 100000     0
4 -> 8      0   / 100000     0
4 -> 9      0   / 100000     0
4 -> 10      0   / 100000     0
4 -> 11     84   / 100000   2520
4 -> 12      0   / 100000     0
4 -> 13      0   / 100000     0
4 -> 14      0   / 100000     0
4 -> 15      0   / 100000     0
4 -> 16      0   / 100000     0
4 -> 17      0   / 100000     0
4 -> 18     84   / 100000   2604
4 -> 19      0   / 100000     0
4 -> 20      0   / 100000     0
4 -> 21      0   / 100000     0
4 -> 22      0   / 100000     0
4 -> 23      0   / 100000     0
4 -> 24      0   / 100000     0
4 -> 25      0   / 100000     0
4 -> 26      0   / 100000     0
4 -> 27      0   / 100000     0
4 -> 28      0   / 100000     0
4 -> 29      0   / 100000     0
0 -> 30      0   / 100000     0
1 -> 30      0   / 100000     0
2 -> 30      0   / 100000     0
3 -> 30      0   / 100000     0
4 -> 30    396   / 100000     0
